,,,,,,,,,,,,,,,,
Nigeria,2018 DHS,Region : ..Bauchi,29.7,35.8,,94.9,,92.4,,,,19.3,19.7,38.1,71.8,2.1
Nigeria,2018 DHS,Region : ..Borno,25.5,21.9,,96.8,,97.8,,,,36.2,30.4,51.4,83,3.2
Nigeria,2018 DHS,Region : ..Gombe,51.5,40.5,,96.7,,95.9,,,,29.6,22.7,44.2,86.9,3.3
Nigeria,2018 DHS,Region : ..Taraba,21.2,15.6,,95.5,,95.2,,,,51.9,61.9,76.4,67.5,3.6
Nigeria,2018 DHS,Region : ..Yobe,,37.9,,94.7,,80.9,,,,12,19.5,27.1,93.1,3.1
Nigeria,2018 DHS,Region : ..Jigawa,27.6,61.2,,98.5,,92.8,,,,18.2,10.8,42.9,98.3,3
Nigeria,2018 DHS,Region : ..Kaduna,17.2,59.4,,94.8,,92.7,,,,37,41.6,61.5,93.4,4.8
Nigeria,2018 DHS,Region : ..Kano,35.1,64.5,,96.9,,94.1,,,,33,7,41.2,97.7,2.7
Nigeria,2018 DHS,Region : ..Katsina,18.8,48.1,,98,,94.1,,,,10.2,14.1,59.7,92.6,3.7
Nigeria,2018 DHS,Region : ..Kebbi,14.2,21.5,,95.6,,94.8,,,,4.4,12.9,54.3,30.7,0.5
Nigeria,2018 DHS,Region : ..Sokoto,,29.7,,85.8,,88.7,,,,1.6,2.3,9.9,84.4,31.6
Nigeria,2018 DHS,Region : ..Zamfara,14.6,22.6,,96.4,,96.5,,,,8.2,5.8,10.8,63.6,3.8
Nigeria,2018 DHS,Region : ..Abia,8.1,18.1,,89,,91.5,,,,89.3,84,91.3,38.4,3.4
Nigeria,2018 DHS,Region : ..Anambra,12.5,17.7,,66.6,,55.8,,,,97.6,96.9,97.9,35.6,3.6
Nigeria,2018 DHS,Region : ..Ebonyi,30.9,47.4,,55.2,,55.3,,,,71.9,76.6,74.9,23.7,6.1
Nigeria,2018 DHS,Region : ..Enugu,17.3,16.3,,73.8,,68,,,,62.8,55.5,64.9,62.6,8.6
Nigeria,2018 DHS,Region : ..Imo,46.6,48.2,,92.3,,90,,,,68,44.5,71.4,55.1,10.2
Nigeria,2018 DHS,Region : ..Ekiti,37.9,49.9,,87.6,,77.6,,,,85.2,72.4,88.1,63.7,6.7
Nigeria,2018 DHS,Region : ..Lagos,32.3,30.5,,95.7,,98.1,,,,82.7,61.2,81.5,84,3.7
Nigeria,2018 DHS,Region : ..Ogun,10.5,5.2,,81.1,,94.1,,,,68.3,71.9,88.9,49.9,1.8
Nigeria,2018 DHS,Region : ..Ondo,20.3,35.8,,90.6,,86.8,,,,55.7,56.2,76.1,69.5,5.4
Nigeria,2018 DHS,Region : ..Osun,23.1,16.2,,92.5,,93.8,,,,40.2,28.2,51.5,87.4,7.5
Nigeria,2018 DHS,Region : ..Oyo,10.1,24.1,,92.5,,97.3,,,,94.1,82.3,97.5,68.7,4.5
Nigeria,2018 DHS,Region : ..Akwa Ibom,21.9,45.1,,83.4,,79.8,,,,81.4,66.9,86.7,49.6,10.6
Nigeria,2018 DHS,Region : ..Bayelsa,,6.6,,73.2,,69.5,,,,40.6,38.5,39.6,23.7,7
Nigeria,2018 DHS,Region : ..Cross River,22.5,38,,75.5,,83.3,,,,94.8,93.3,93.2,70.7,13.5
Nigeria,2018 DHS,Region : ..Delta,28.2,33.6,,87,,88.5,,,,85,84.3,90.6,60.6,6
Nigeria,2018 DHS,Region : ..Edo,27.9,66,,85.8,,87.5,,,,47.4,32.7,42.1,53.6,7.8
Nigeria,2018 DHS,Region : ..Rivers,16.9,23.9,,88.9,,88.8,,,,74.5,78.7,75.2,61.8,5.2
Nigeria,2018 DHS,Region : North Central,18.6,37.4,,84.7,,87.3,,,,39.5,41.7,60.8,69.8,5.7
Nigeria,2018 DHS,Decision : Own health care,,,,,,,11.2,,,,,,,
Nigeria,2018 DHS,Decision : Major household purchases,,,,,,,,6.3,,,,,,
Nigeria,2018 DHS,Decision : Visits to her family or relatives,,,,,,,,,14.6,,,,,
Nigeria,2013 DHS,Total,20.2,,,82.3,,85.3,,,,38.7,37.6,47.4,70.1,4.4
Nigeria,2013 DHS,Region : North East,8.3,,,95.1,,93.6,,,,26.3,19.4,36.6,73.5,7.3
Nigeria,2013 DHS,Region : North West,27.7,,,85.7,,89.5,,,,16.2,15,23.5,87.7,1.2
Nigeria,2013 DHS,Region : South East,18.4,,,71.9,,78.2,,,,63.3,61.9,73.2,40.9,7.1
Nigeria,2013 DHS,Region : South West,21.5,,,88.1,,85.4,,,,72.4,70.9,85.9,80.9,6
Nigeria,2013 DHS,Region : South South,18.6,,,81.3,,79.1,,,,65.7,71,73.2,48,7.1
Nigeria,2013 DHS,Region : ..FCT Abuja,21.5,,,78.7,,79.7,,,,55.9,55.6,63.7,81.6,5.4
Nigeria,2013 DHS,Region : ..Benue,21.9,,,56.3,,83.3,,,,28.5,32.7,33,20.2,7.4
Nigeria,2013 DHS,Region : ..Kogi,17.3,,,60,,74.7,,,,61.7,63.2,67.5,50.9,6.7
Nigeria,2013 DHS,Region : ..Kwara,19.9,,,77.1,,81.9,,,,80.3,78.9,94.3,86.6,2
Nigeria,2013 DHS,Region : ..Nasarawa,22.3,,,89.1,,75.5,,,,50.7,57.9,49.9,36.6,5.1
Nigeria,2013 DHS,Region : ..Niger,11.6,,,51.8,,83.8,,,,18.7,19.4,22.1,60.8,0.1
Nigeria,2013 DHS,Region : ..Plateau,11.2,,,69.4,,66.5,,,,63.7,65.5,67.1,24.4,4.4
Nigeria,2013 DHS,Region : ..Adamawa,8.6,,,91.5,,94.9,,,,34.9,32.8,49.4,75,6.2
Nigeria,2013 DHS,Region : ..Bauchi,6.5,,,94.9,,92.5,,,,29,12.9,40.1,75.1,4.4
Nigeria,2013 DHS,Region : ..Borno,6,,,96.7,,93.5,,,,25,16.1,30.9,77.4,23.6
Nigeria,2013 DHS,Region : ..Gombe,2.1,,,98.5,,97.7,,,,5.6,5.1,6.6,82.1,1.8
Nigeria,2013 DHS,Region : ..Taraba,13.7,,,95.6,,93.5,,,,56.8,51.5,64.9,47.4,6.7
Nigeria,2013 DHS,Region : ..Yobe,0,,,93.7,,91.9,,,,7,5.9,26.2,89.1,1.9
Nigeria,2013 DHS,Region : ..Jigawa,16,,,91.1,,89.2,,,,13.3,11.2,21.9,82.7,2.9
Nigeria,2013 DHS,Region : ..Kaduna,27,,,89.8,,93.4,,,,54.1,52.4,54.1,55.8,1.5
Nigeria,2013 DHS,Region : ..Kano,0,,,75.1,,88.4,,,,1.4,1.1,1.9,99,0.5
Nigeria,2013 DHS,Region : ..Katsina,0,,,98.9,,98.2,,,,33.7,28.8,50.9,91.9,1.7
Nigeria,2013 DHS,Region : ..Kebbi,29.9,,,62.3,,62.9,,,,2.7,5,8,98.4,1
Nigeria,2013 DHS,Region : ..Sokoto,44,,,96.3,,96.4,,,,0.9,0.9,1,94.8,0.6
Nigeria,2013 DHS,Region : ..Zamfara,56.7,,,97.3,,95.4,,,,3.9,3,29.4,94.3,0.8
Nigeria,2013 DHS,Region : ..Abia,16.6,,,72.5,,77,,,,59.3,59.6,62.6,21.2,7.3
Nigeria,2013 DHS,Region : ..Anambra,16.6,,,83.4,,90.9,,,,75.9,72.4,86.3,32,8.5
Nigeria,2013 DHS,Region : ..Ebonyi,24.1,,,65.1,,77.5,,,,42.1,52.3,64.3,41,5.6
Nigeria,2013 DHS,Region : ..Enugu,11.9,,,55.3,,59.8,,,,63.7,62.3,69.5,55.1,7.9
Nigeria,2013 DHS,Region : ..Imo,24.9,,,85.3,,85.1,,,,76.6,62,78.6,51.7,6.2
Nigeria,2013 DHS,Region : ..Ekiti,30.8,,,85.8,,80.2,,,,72,68.8,86,75.6,5.9
Nigeria,2013 DHS,Region : ..Lagos,24.9,,,90.8,,85.9,,,,78.8,72.3,90.1,82,3.9
Nigeria,2013 DHS,Region : ..Ogun,19.6,,,92.9,,89.5,,,,79,78.3,93.2,87.5,12.3
Nigeria,2013 DHS,Region : ..Ondo,22.5,,,85.6,,84.8,,,,64.1,63.5,75.5,72.9,5.6
Nigeria,2013 DHS,Region : ..Osun,16.1,,,89.6,,86.8,,,,53,53.5,76.3,89.9,2.3
Nigeria,2013 DHS,Region : ..Oyo,18,,,83.2,,83.2,,,,73.4,75.8,85.7,76.2,6.4
Nigeria,2013 DHS,Region : ..Akwa Ibom,17,,,78,,79.5,,,,54.9,61.6,67.9,77.3,12.3
Nigeria,2013 DHS,Region : ..Bayelsa,40.3,,,76,,68.4,,,,31.6,58,47.2,65.8,7.2
Nigeria,2013 DHS,Region : ..Cross River,15.9,,,62.8,,57.8,,,,60,76.3,69.9,28.2,5.8
Nigeria,2013 DHS,Region : ..Delta,27.3,,,94.6,,90.3,,,,71.1,71.8,72.1,40.3,10.3
Nigeria,2013 DHS,Region : ..Edo,14.9,,,93.9,,92.8,,,,71.5,71,72.7,73.5,4.4
Nigeria,2013 DHS,Region : ..Rivers,14.3,,,77.6,,76.8,,,,77.9,76.2,87.1,26.7,3.9
Nigeria,2013 DHS,Region : North Central,18.5,,,64.1,,79.2,,,,42.1,44.2,46.8,48.3,3.9
Nigeria,2013 DHS,Decision : Own health care,,,,,,,6.2,,,,,,,
Nigeria,2013 DHS,Decision : Major household purchases,,,,,,,,5.6,,,,,,
Nigeria,2013 DHS,Decision : Visits to her family or relatives,,,,,,,,,7.9,,,,,
Nigeria,2008 DHS,Total,17.1,,,,,,,,,43.6,37.6,54.9,66.4,4.3
Nigeria,2008 DHS,Region : North East,33.9,,,,,,,,,26.7,21.9,37.7,71.9,2.8
Nigeria,2008 DHS,Region : North West,14.8,,,,,,,,,18.8,17.3,29.8,86.3,1.7
Nigeria,2008 DHS,Region : South East,8.1,,,,,,,,,58.2,52.5,65.5,26.7,9.1
Nigeria,2008 DHS,Region : South West,16.9,,,,,,,,,68.9,53.8,80.3,70.1,4.3
Nigeria,2008 DHS,Region : South South,25.5,,,,,,,,,64,52.9,77.2,59.1,7.5
Nigeria,2008 DHS,Region : North Central,8.4,,,,,,,,,54.4,54,67.2,46.1,5.1
Nigeria,2008 DHS,Decision : Own health care,,,,,,,9.8,,,,,,,
Nigeria,2008 DHS,Decision : Major household purchases,,,,,,,,5.7,,,,,,
Nigeria,2008 DHS,Decision : Visits to her family or relatives,,,,,,,,,11.2,,,,,
Nigeria,2003 DHS,Total,23.8,,,,,,,,,23.1,19.5,38.1,71,
Nigeria,2003 DHS,Region : North East,27.9,,,,,,,,,10.5,9.8,41.5,69.6,
Nigeria,2003 DHS,Region : North West,36.8,,,,,,,,,10.8,9.5,26.7,80.7,
Nigeria,2003 DHS,Region : South East,5.7,,,,,,,,,59.3,49.5,75.3,63.7,
Nigeria,2003 DHS,Region : South West,19.7,,,,,,,,,51.3,39.1,58.6,77.5,
Nigeria,2003 DHS,Region : South South,30,,,,,,,,,36.1,39.3,43,53.5,
Nigeria,2003 DHS,Region : North Central,21.5,,,,,,,,,23.2,12.6,23.9,63.6,
Nigeria,2003 DHS,Decision : Own health care,,,,,,,12.8,,,,,,,
Nigeria,2003 DHS,Decision : Major household purchases,,,,,,,,7.1,,,,,,
Nigeria,2003 DHS,Decision : Visits to her family or relatives,,,,,,,,,17.7,,,,,
Rwanda,2019-20 DHS,Total,9.6,30.2,,58.5,,69.4,,,,82.3,78,86.9,23.3,11.7
Rwanda,2019-20 DHS,Region : Kigali,12.5,34.9,,75.1,,84,,,,82,81.2,86.1,34.1,18.9
Rwanda,2019-20 DHS,Region : West,11.7,29.6,,52.6,,68.9,,,,77.8,71.7,85.4,26,12
Rwanda,2019-20 DHS,Region : East,7.8,28.9,,57.3,,69.7,,,,84,80.5,87.8,18,8.6
Rwanda,2019-20 DHS,Region : North,7.7,24.2,,49.7,,55.3,,,,78.7,77.9,85.8,21.9,12.3
Rwanda,2019-20 DHS,Region : South,9.7,32.6,,60.7,,69.5,,,,87.6,79.1,88.9,21,10.3
Rwanda,2019-20 DHS,Decision : Own health care,,,,,,,29.4,,,,,,,
Rwanda,2019-20 DHS,Decision : Major household purchases,,,,,,,,8.3,,,,,,
Rwanda,2019-20 DHS,Decision : Visits to her family or relatives,,,,,,,,,18.6,,,,,
Rwanda,2014-15 DHS,Total,8.7,,,50.8,,53.7,,,,83.4,73.2,85.3,19.5,9.5
Rwanda,2014-15 DHS,Region : Kigali,7.3,,,70.1,,72.8,,,,89.3,79,88.7,19.4,12.5
Rwanda,2014-15 DHS,Region : West,5.6,,,49.9,,57.2,,,,78.9,72.3,86,15.1,6.9
Rwanda,2014-15 DHS,Region : East,11.2,,,46,,49.9,,,,86.3,75.1,85.4,20.4,7.3
Rwanda,2014-15 DHS,Region : North,8.6,,,44.5,,46.4,,,,83.6,73.1,85.3,25.5,7.8
Rwanda,2014-15 DHS,Region : South,9.2,,,50,,48.7,,,,81,68.9,82.8,18.4,13.9
Rwanda,2014-15 DHS,Decision : Own health care,,,,,,,23.2,,,,,,,
Rwanda,2014-15 DHS,Decision : Major household purchases,,,,,,,,12.4,,,,,,
Rwanda,2014-15 DHS,Decision : Visits to her family or relatives,,,,,,,,,16.9,,,,,
Rwanda,2010 DHS,Total,8.1,,,47.7,,46.3,,,,73.7,71.2,81.2,18.3,9.6
Rwanda,2010 DHS,Region : Kigali,8.8,,,68.9,,65.7,,,,78.9,78.6,87.8,29.8,15.3
Rwanda,2010 DHS,Region : West,6.8,,,46.8,,46.7,,,,75.9,68.7,80.2,15.2,10.2
Rwanda,2010 DHS,Region : East,8.6,,,42.5,,40.6,,,,73.7,69.8,78.4,13.7,7
Rwanda,2010 DHS,Region : North,5.8,,,42.1,,44.9,,,,70.5,69.3,81.6,18,9.4
Rwanda,2010 DHS,Region : South,10,,,47.5,,43,,,,71.5,73.2,82.1,21.4,9.1
Rwanda,2010 DHS,Decision : Own health care,,,,,,,19.1,,,,,,,
Rwanda,2010 DHS,Decision : Major household purchases,,,,,,,,7.1,,,,,,
Rwanda,2010 DHS,Decision : Visits to her family or relatives,,,,,,,,,14.8,,,,,
Rwanda,2005 DHS,Total,9.7,,,,,,,,,59.5,57.6,74.2,31.2,
Rwanda,2005 DHS,Region : Kigali,8.8,,,,,,,,,60.8,56.2,67,61,
Rwanda,2005 DHS,Region : West,16.8,,,,,,,,,52.5,50.4,67.6,21.9,
Rwanda,2005 DHS,Region : East,4.7,,,,,,,,,54.7,53,71.6,22.9,
Rwanda,2005 DHS,Region : North,8.3,,,,,,,,,62.3,61.7,74.9,41.3,
Rwanda,2005 DHS,Region : South,10.1,,,,,,,,,68.2,66,84.5,31.1,
Rwanda,2005 DHS,Decision : Own health care,,,,,,,26.2,,,,,,,
Rwanda,2005 DHS,Decision : Major household purchases,,,,,,,,19.8,,,,,,
Rwanda,2005 DHS,Decision : Visits to her family or relatives,,,,,,,,,24.4,,,,,
Rwanda,2000 DHS,Total,9.7,,,,,,,,,50.2,49,69.3,34.6,
Rwanda,2000 DHS,Region : Butare/Gitarama,6.1,,,,,,,,,53.3,51.1,72.9,30.5,
Rwanda,2000 DHS,Region : ..Butare,13.5,,,,,,,,,58.9,53.5,74.7,27.9,
Rwanda,2000 DHS,Region : ..Gitarama,1.8,,,,,,,,,49,49.2,71.5,33.3,
Rwanda,2000 DHS,Region : Byumba/Kibungo,12.5,,,,,,,,,48.9,45.7,66.2,29.2,
Rwanda,2000 DHS,Region : ..Byumba,10.2,,,,,,,,,44.5,37.8,67.6,28.4,
Rwanda,2000 DHS,Region : ..Kibungo,16.7,,,,,,,,,59.8,53.8,65.4,30,
Rwanda,2000 DHS,Region : ..Umutara,4.8,,,,,,,,,36.7,50.2,64.1,29.2,
Rwanda,2000 DHS,Region : Cyangugu/Ginkongoro,12.9,,,,,,,,,45.4,44,64.6,25,
Rwanda,2000 DHS,Region : ..Cyangugu,10.9,,,,,,,,,40.6,40.9,60.1,25.9,
Rwanda,2000 DHS,Region : ..Gikongoro,15.4,,,,,,,,,51,47.7,69.8,22.2,
Rwanda,2000 DHS,Region : Kibuye/Ruhengeri/Gisenyi,8.3,,,,,,,,,47.4,49.6,72.7,32.6,
Rwanda,2000 DHS,Region : ..Kibuye,9.4,,,,,,,,,50,53.6,72.4,29.8,
Rwanda,2000 DHS,Region : ..Ruhengeri,5.7,,,,,,,,,45.9,49.7,71.9,32.9,
Rwanda,2000 DHS,Region : ..Gisenyi,9.5,,,,,,,,,47.6,47.6,73.5,33.3,
Rwanda,2000 DHS,Region : Kigali Prefecture 1992,9.3,,,,,,,,,57.8,54,67.3,49.1,
Rwanda,2000 DHS,Region : ..Kigali Ville (PVK) 2000,10.4,,,,,,,,,59.6,58.1,64.9,64.2,
Rwanda,2000 DHS,Region : ..Kigali Rurale 2000,8.6,,,,,,,,,57.2,52.7,68.1,41.2,
Rwanda,2000 DHS,Decision : Own health care,,,,,,,23.2,,,,,,,
Rwanda,2000 DHS,Decision : Major household purchases,,,,,,,,16.5,,,,,,
Rwanda,2000 DHS,Decision : Visits to her family or relatives,,,,,,,,,19.7,,,,,
Tajikistan,2017 DHS,Total,25.5,35.5,,64.4,,,,,,45.7,37.5,43.6,28.5,10.6
Tajikistan,2017 DHS,Region : Dushanbe,16.3,24.6,,56.6,,,,,,53.5,54.6,46.7,25.9,16.7
Tajikistan,2017 DHS,Region : GBAO,44.3,38.7,,48,,,,,,86.5,74.9,80.2,30.9,24.9
Tajikistan,2017 DHS,Region : Sughd,21,42.7,,68.2,,,,,,59.6,44.3,58.7,26.3,5.5
Tajikistan,2017 DHS,Region : DRS,17.9,27.6,,73.3,,,,,,34.6,30.6,33.6,31.5,13.4
Tajikistan,2017 DHS,Region : Khatlon,39.6,37,,58.6,,,,,,36.1,30.1,33.5,30.9,13.4
Tajikistan,2017 DHS,Decision : Own health care,,,,,,,12.2,,,,,,,
Tajikistan,2017 DHS,Decision : Major household purchases,,,,,,,,7.8,,,,,,
Tajikistan,2017 DHS,Decision : Visits to her family or relatives,,,,,,,,,11.8,,,,,
Tajikistan,2012 DHS,Total,34.1,,,47.2,,70.6,,,,54.2,54.8,55.9,32.7,7.8
Tajikistan,2012 DHS,Region : Dushanbe,45.3,,,47.8,,96.7,,,,51.9,52.7,60.3,36,10.2
Tajikistan,2012 DHS,Region : GBAO,36.2,,,41.7,,48.2,,,,69.3,73.6,73.9,44.6,24.3
Tajikistan,2012 DHS,Region : Sughd,42.9,,,38.4,,70.3,,,,53,54.5,56.8,36.3,4.6
Tajikistan,2012 DHS,Region : DRS,38.6,,,38.5,,65.6,,,,63.4,59.7,58.5,40.7,13.8
Tajikistan,2012 DHS,Region : Khatlon,15.6,,,60.2,,68.8,,,,48.8,51,51.1,26.7,7.5
Tajikistan,2012 DHS,Decision : Own health care,,,,,,,14.5,,,,,,,
Tajikistan,2012 DHS,Decision : Major household purchases,,,,,,,,7.9,,,,,,
Tajikistan,2012 DHS,Decision : Visits to her family or relatives,,,,,,,,,9.4,,,,,
Timor-Leste,2016 DHS,Total,8.4,15.9,,13.4,,29.6,,,,92.9,93.7,93.8,38.7,18
Timor-Leste,2016 DHS,Region : Aileu,13.2,25.6,,6,,11.6,,,,87,87.3,88.5,35,7.8
Timor-Leste,2016 DHS,Region : Ainaro,8.4,15.6,,15.4,,16.6,,,,87.5,91,86.6,22.3,12.6
Timor-Leste,2016 DHS,Region : Baucau,10,21.5,,31.2,,37.4,,,,91.1,93.8,92.5,37.9,11.9
Timor-Leste,2016 DHS,Region : Bobonaro,6,17.4,,19.7,,29,,,,97.2,94.3,96.8,27.2,19.1
Timor-Leste,2016 DHS,Region : Cova Lima,12.5,21.7,,8.6,,9.2,,,,83.9,92.3,94.1,48.4,14.1
Timor-Leste,2016 DHS,Region : Dili,7.6,12.3,,19.9,,68,,,,96.1,93.8,92,44.4,27.8
Timor-Leste,2016 DHS,Region : Ermera,14.5,13.8,,1.9,,2,,,,91.2,88.6,89.2,31.5,7.6
Timor-Leste,2016 DHS,Region : Liquica,5,11.9,,3.3,,5,,,,93.9,87.9,96,36,16.6
Timor-Leste,2016 DHS,Region : Lautem,4.9,14.4,,2.7,,12.8,,,,98.3,98.6,98.9,40.3,7.9
Timor-Leste,2016 DHS,Region : Manufahi,4.6,11.7,,15.8,,17.4,,,,88,97.4,96.9,30.9,18.5
Timor-Leste,2016 DHS,Region : Manatuto,6,11.4,,4.6,,31,,,,88,97.3,94.7,42.6,18.2
Timor-Leste,2016 DHS,Region : Oecussi,10.3,13.7,,9.3,,11.2,,,,93.3,97.2,97.8,44.9,6.1
Timor-Leste,2016 DHS,Region : Viqueque,4.3,22.6,,2.2,,7.3,,,,98.5,98.7,98.1,19.6,8
Timor-Leste,2016 DHS,Decision : Own health care,,,,,,,31.1,,,,,,,
Timor-Leste,2016 DHS,Decision : Major household purchases,,,,,,,,48.3,,,,,,
Timor-Leste,2016 DHS,Decision : Visits to her family or relatives,,,,,,,,,20.9,,,,,
Timor-Leste,2009-10 DHS,Total,12.1,,,,,,,,,86.6,85.9,91.1,36.4,25.8
Timor-Leste,2009-10 DHS,Region : Aileu,17.2,,,,,,,,,78.6,82.2,81.9,,
Timor-Leste,2009-10 DHS,Region : Ainaro,5.8,,,,,,,,,93.2,96.5,88.2,,
Timor-Leste,2009-10 DHS,Region : Baucau,24.1,,,,,,,,,68.6,74.5,91.3,20.2,35
Timor-Leste,2009-10 DHS,Region : Bobonaro,6.7,,,,,,,,,100,99.6,99.9,19.8,33.9
Timor-Leste,2009-10 DHS,Region : Cova Lima,2.3,,,,,,,,,57,77.6,95.5,32.1,22.4
Timor-Leste,2009-10 DHS,Region : Dili,17.5,,,,,,,,,82.9,87.7,83.2,42,26.7
Timor-Leste,2009-10 DHS,Region : Ermera,22.3,,,,,,,,,92.2,90.8,89,48.4,28.7
Timor-Leste,2009-10 DHS,Region : Liquica,3.8,,,,,,,,,90.1,94.6,95.4,26.8,27.3
Timor-Leste,2009-10 DHS,Region : Lautem,6.5,,,,,,,,,87.7,55.7,95.8,56.2,10.9
Timor-Leste,2009-10 DHS,Region : Manufahi,15.7,,,,,,,,,94.3,65.7,91.1,44.8,20.8
Timor-Leste,2009-10 DHS,Region : Manatuto,9,,,,,,,,,95.2,97.9,98.8,40.5,35.4
Timor-Leste,2009-10 DHS,Region : Oecussi,4.2,,,,,,,,,97.1,94.2,96.6,24,16.6
Timor-Leste,2009-10 DHS,Region : Viqueque,15.8,,,,,,,,,96.2,90.9,88,3.2,14.2
Timor-Leste,2009-10 DHS,Decision : Own health care,,,,,,,22.8,,,,,,,
Timor-Leste,2009-10 DHS,Decision : Major household purchases,,,,,,,,20.9,,,,,,
Timor-Leste,2009-10 DHS,Decision : Visits to her family or relatives,,,,,,,,,12.8,,,,,
Togo,2013-14 DHS,Total,27,,,89.5,,90.3,,,,42.1,47.2,64.6,90,7.5
Togo,2013-14 DHS,Region : Ensemble Maritime,28.7,,,91.9,,91,,,,41.9,45.5,65.4,93.1,7.8
Togo,2013-14 DHS,Region : ..Maritime,25.4,,,89,,87.9,,,,46.6,49.6,65.8,94.8,6
Togo,2013-14 DHS,Region : ..Lomé,30.5,,,93.4,,92.6,,,,38.6,42.7,65.1,91.9,9.2
Togo,2013-14 DHS,Region : Plateaux,26.4,,,87.2,,88.3,,,,42.6,48.7,64.9,80.1,7.6
Togo,2013-14 DHS,Region : Centrale,18.2,,,89.3,,93.1,,,,42.5,59.7,59.6,92.7,6.6
Togo,2013-14 DHS,Region : Kara,28.5,,,89.9,,92.4,,,,42.4,41.2,66.4,96.4,8.1
Togo,2013-14 DHS,Region : Savanes,30.9,,,83.8,,86.6,,,,41,46.4,63.4,84.4,5.8
Togo,2013-14 DHS,Decision : Own health care,,,,,,,11.6,,,,,,,
Togo,2013-14 DHS,Decision : Major household purchases,,,,,,,,14.3,,,,,,
Togo,2013-14 DHS,Decision : Visits to her family or relatives,,,,,,,,,17.4,,,,,
,,,,,,,,,,,,,,,,
Family planning use decisionmaking mainly by wife,"Among currently married women using family planning, the percentage for whom the decision was made mainly by the wife",,,,,,,,,,,,,,,
Family planning non-use decisionmaking mainly by wife,"Among currently married women not currently using family planning, the percentage for whom the decision was made mainly by the wife",,,,,,,,,,,,,,,
Do not own a house [Women],Percentage of women who do not own a house,,,,,,,,,,,,,,,
Do not own land [Women],Percentage of women who do not own land,,,,,,,,,,,,,,,
Decision maker about Own health care: Mainly wife [Women],Percentage of women for whom the decision maker for their own health care is mainly the respondent,,,,,,,,,,,,,,,
Decision maker about Major household purchases: Mainly wife [Women],Percentage of women for whom the decision maker for major household purchases is mainly the respondent,,,,,,,,,,,,,,,
Decision maker about Visits to her family or relatives: Mainly wife [Women],Percentage of women for whom the decision maker for visits to her family or relatives is mainly the respondent,,,,,,,,,,,,,,,
Final say in own health care [Women],Percentage of women who say that they alone or jointly have the final say in own health care,,,,,,,,,,,,,,,
Final say in making large purchases [Women],Percentage of women who say that they alone or jointly have the final say in making large purchases,,,,,,,,,,,,,,,
"Final say in visits to family, relatives, friends [Women]","Percentage of women who say that they alone or jointly have the final say in visits to family, relatives, friends",,,,,,,,,,,,,,,
Women who decide themselves how their earnings are used,Percentage of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings who decides herself how the earnings are used,,,,,,,,,,,,,,,
Wife earns more than husband,Percentage of currently married or in union women employed in the 12 months preceding the survey whose cash earnings are more than her husband's,,,,,,,,,,,,,,,
"ICF, 2015. The DHS Program STATcompiler. Funded by USAID. http://www.statcompiler.com. December 22 2021",,,,,,,,,,,,,,,,